KLETSkous 1,SA AMSAT,Non-profit,South Africa,1U,TBD,-,not launched,Space Technology
Time Capsule to Mars (TC2M),Explore Mars,Non-profit,US,TBD,TBD,-,Mars,Space Activity
Flock-2d 10,Planet Labs,Company,US,3U,TBD,Falcon 9,ISS,Space Activity
KLETSkous 2,SA AMSAT,Non-profit,South Africa,1U,TBD,-,not launched,Space Technology
TINYSCOPE (Tactical Imaging Nanosat Yielding Small-Cost Operations for Persistent Earth-coverage),Naval Postgraduate School,University,US,6U,TBD,-,not launched,Space Technology
AAUSAT6,Aalborg University,University,Denmark,1U,TBD,not launched,not launched,Space Technology
Flock-2d 11,Planet Labs,Company,US,3U,TBD,Falcon 9,ISS,Space Activity
Europa Moon CubeSat,Draper Labs,Company,US,3U,TBD,-,Europa,Space Activity
KN-SAT1,University of Khartoum,University,Sudan,1U,TBD,-,not launched,Space Technology
Triton-2,ISIS,Company,Netherlands,3U,TBD,-,not launched,Space Technology
Flock-2d 12,Planet Labs,Company,US,3U,TBD,Falcon 9,ISS,Space Activity
LIS-1 (Lunar Imaging Satellite 1),Kommunity Spaceflight Initiative on Kerbal Space Program,Independent,International,TBD,TBD,-,Moon,Space Activity
TSat4,Taylor University,University,US,3U,TBD,-,not launched,-
TEMPEST-D (Temporal Experiment for Storms and Tropical Systems - Demonstrator),Colorado State University,University,US,6U,TBD,TBD,TBD,Space Science
Flock-2d 13,Planet Labs,Company,US,3U,TBD,Falcon 9,ISS,Space Activity
Lagrange-1 CubeSat,Polytechnical University of Torino,University,Italy,6U,TBD,-,not launched,Space Science
TwinCube,West Pomeraian University of Technology,University,Poland,3U,TBD,-,not launched,Space Science
Flock-2d 14,Planet Labs,Company,US,3U,TBD,Falcon 9,ISS,Space Activity
LeSTAR (Lessius Satellite for Teaching and Autonomous Research),Lessius University College,University,Belgium,3U,TBD,-,not launched,Space Activity
TwinSat-1N,University College London,University,UK,2U,TBD,-,not launched,Space Technology
Flock-2d 15,Planet Labs,Company,US,3U,TBD,Falcon 9,ISS,Space Activity
CubeSAIL,University of Surrey,University,UK,3U,TBD,PSLV,not launched,Space Technology
FIRST-S (Fibered Imager foR a Single Telescope),Observatoire de Paris,Institute,France,3U,TBD,-,not launched,Space Science
Flock-2d 16,Planet Labs,Company,US,3U,TBD,Falcon 9,ISS,Space Activity
RioSat,Graz Unviersity of Technology,University,Austria,2U,x_cancelled,TBD,TBD,Space Science
Simba (Sun-earth IMBAlance),Royal Meteorological Institute of Belgium,Institute,Belgium,3U,x_cancelled,TBD,TBD,Space Science
Aggiesat-1,Texas A&M University,University,US,1U,x_cancelled,cancelled,cancelled,Space Technology
Aggiesat-3,Texas A&M University,University,US,1U,x_cancelled,cancelled,cancelled,Space Technology
AtmoCube,University of Trieste,University,Italy,1U,x_cancelled,-,not launched,Space Technology
Constellation Pathfinder,Boston University,University,US,1 kg,x_cancelled,cancelled,cancelled,Space Technology
CSTB-3,Boeing,Company,US,3U,x_cancelled,-,not launched,Space Technology
CTAAP (CubeSat To Accept Any Payload ),University of North Dakota,University,US,1U,x_cancelled,cancelled,cancelled,Space Technology
Ex-Alta 1 (AlbertaSat-2),University of Alberta,University,Canada,3U,x_cancelled,-,not launched,-
Funsat (Flosat),University of Central Florida,University,US,1U,x_cancelled,-,not launched,Space Technology
czCube,Amateur group,Independent,Czech,1U,x_cancelled,TBD,x_cancelled,Space Technology
GSat,University of Florida,University,US,1U,x_cancelled,-,not launched,Space Technology
Heidelsat,Heidelberg University of Applied Sciences,University,Germany,1U,x_cancelled,-,not launched,Space Science
