Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
RadSat,Montana State University,University,US,2U,12/31/16,not launched,ISS,Space Technology
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
qbee,Luleå Tekniska Universitet (LTU),University,Sweden,2U,12/31/16,TBD,ISS,Space Science
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
STARS-C DS (STARS-III Daughter Satellite),Shizuoka University,University,Japan,1U,12/31/16,H-2B,not launched,Space Technology
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
CanX-7,University of Toronto Institute for Aerospace Studies,University,Canada,2U,12/31/16,-,not launched,Space Technology
Waseda-Sat3,Waseda University,University,Japan,1U,12/31/16,H-2B,not launched,Space Technology
Flock-2x xx,Planet Labs,Company,US,3U,12/31/16,not launched,not launched,Space Activity
