TUBSAT-N,Technische Universität Berlin,University,Germany,8.5 kg,07/07/98,Shtil,"770 x 404 km, 78.9 degree inclination",Space Technology
TUBSAT-N,Technische Universität Berlin,University,Germany,3 kg,07/08/98,Shtil,"770 x 404 km, 78.9 degree inclination",Space Technology
Artemis JAK (MASat ),Santa Clara University,University,US,0.2 kg,01/27/00,Minotaur I,"750 km SSO, 97.5 degree inclination",Space Technology
Artemis Louise (Lightning),Santa Clara University,University,US,0.89 kg,01/27/00,Minotaur I,"750 km SSO, 97.5 degree inclination",Space Technology
Artemis Thelma (Thunder),Santa Clara University,University,US,0.6 kg,01/27/00,Minotaur I,"750 km SSO, 97.5 degree inclination",Space Technology
ASUSat 1 (Arizona State University Satellite),Arizona State University,University,US,6 kg,01/27/00,Minotaur I,"750 km SSO, 97.5 degree inclination",Space Technology
"MEMS 1A (Pico 21, PICOSAT-1)",DARPA,Military,US,0.275 kg,01/27/00,Minotaur I,"750 km SSO, 97.5 degree inclination",Space Technology
"MEMS 1B (Pico 23, PICOSAT-1)",DARPA,Military,US,0.275 kg,01/27/00,Minotaur I,"750 km SSO, 97.5 degree inclination",Space Technology
StenSat,"Stensat Group, LLC",Company,US,0.2 kg,01/27/00,Minotaur I,"750 km SSO, 97.5 degree inclination",Space Activity
"MEMS 2A (Pico 20, PICOSAT-1)",DARPA,Military,US,0.275 kg,07/19/00,Minotaur I,750 x 800 km 100.22 degree inclination,Space Technology
"MEMS 2B (Pico 22, PICOSAT-1)",DARPA,Military,US,0.275 kg,07/19/00,Minotaur I,750 x 800 km 100.22 degree inclination,Space Technology
Munin,Swedish Institute of Space Physics,Agency,Sweden,6 kg,11/21/00,Delta II,"700 x 1850 km, 96.5 degree inclination, elliptical polar orbit",Space Science
MEPSI 1A (MEMS-based PicoSat Inspector),DARPA,Military,US,1U,11/23/02,Shuttle,"379 x 397 km, 51.6 degrees inclination",Space Technology
MEPSI 1B (MEMS-based PicoSat Inspector),DARPA,Military,US,1U,11/23/02,Shuttle,"379 x 397 km, 51.6 degrees inclination",Space Technology
AAUSAT,Aalborg University,University,Denmark,1U,03/30/03,Rokot-KM,"820 km, 98.73 degree inclination",Space Technology
CanX-1,University of Toronto Institute for Aerospace Studies,University,Canada,1U,03/30/03,Rokot-KM,"820 km, 98.73 degree inclination",Space Technology
CUTE-I (Cubical Tokyo Tech Engineering Satellite-I),Tokyo Institute of Technology,University,Japan,1U,03/30/03,Rokot-KM,"820 km, 98.73 degree inclination",Space Technology
DTUSat-1,Technical University of Denmark,University,Denmark,1U,03/30/03,Rokot-KM,"820 km, 98.73 degree inclination",Space Technology
QuakeSat,Stanford University,University,US,3U,03/30/03,Rokot-KM,"820 km, 98.73 degree inclination",Space Technology
XI-IV,University of Tokyo,University,Japan,1U,03/30/03,Rokot-KM,"820 km, 98.73 degree inclination",Space Technology
UNOSAT 1 (Undergraduate Orbital Student Satellite),Universidade Norte do Paraná,University,Brazil,8.83 kg,08/22/03,VLS-1,Launch failure,Space Technology
"TNS-0 (TEKh-42, Technologicesky Nanosputnik)",Moscow Russian Scientific Research Institute,Institute,Russia,4.5 kg,02/28/05,Sojuz-U,ISS,Space Technology
nCube-2,"Norwegian University of Technology and Science (NTNU), Narvik University College (HiN) and the Agricultural University of Norway (NLH)",University,Norway,1U,10/27/05,Kosmos-3M,"686 km, 98 degree inclination",Space Technology
UWE-1,University of Würzburg,University,Germany,1U,10/27/05,Kosmos-3M,"686 km, 98 degree inclination",Space Technology
XI-V,University of Tokyo,University,Japan,1U,10/27/05,Kosmos-3M,"686 km, 98 degree inclination",Space Technology
CUTE-1.7+APD,Tokyo Institute of Technology,University,Japan,1U,02/21/06,M-V-8 (M-5),"185 x 800 km, 98.4 degree inclination",Space Technology
AeroCube-1,The Aerospace Corporation,Non-profit,US,1U,07/26/06,Dnepr,Launch failure,Space Technology
CP1,California Polytechnic University,University,US,1U,07/26/06,Dnepr,Launch failure,Space Technology
CP2,California Polytechnic University,University,US,1U,07/26/06,Dnepr,Launch failure,Space Technology
"HAUSat-1 (Hannuri-1, Hankuk Aviation University SATellite-1)",Korea Aerospace University (Hankuk Aviation University),University,South Korea,1U,07/26/06,Dnepr,Launch failure,Space Technology
ICECube 1 (Ionospheric sCintillation Experimental CubeSat),Cornell University,University,US,1U,07/26/06,Dnepr,Launch failure,Space Technology
ICECube 2 (Ionospheric sCintillation Experimental CubeSat),Cornell University,University,US,1U,07/26/06,Dnepr,Launch failure,Space Technology
ION,University of Illinois,University,US,2U,07/26/06,Dnepr,Launch failure,Space Science
KUTESat,University of Kansas,University,US,1U,07/26/06,Dnepr,Launch failure,Space Technology
Mea Huaka (Voyager),University of Hawaii,University,US,1U,07/26/06,Dnepr,Launch failure,Space Technology
MEROPE (Montana Earth-Orbiting Pico-Explorer),Montana State University,University,US,1U,07/26/06,Dnepr,Launch failure,Space Technology
nCube-1,"Norwegian University of Technology and Science (NTNU), Narvik University College (HiN) and the Agricultural University of Norway (NLH)",University,Norway,1U,07/26/06,Dnepr,Launch failure,Space Technology
PicPoT (Small Satellite of Politecnico di Torino),Polytechnic University of Turin,University,Italy,2.5 kg,07/26/06,Dnepr,Launch failure,Space Technology
RinCon 1,University of Arizona,University,US,1U,07/26/06,Dnepr,Launch failure,Space Technology
SACRED (AlcatelSat),University of Arizona,University,US,1U,07/26/06,Dnepr,Launch failure,Space Technology
SEEDS,Nihon University,University,Japan,1U,07/26/06,Dnepr,Launch failure,Space Technology
HIT-Sat,Hokkaido Institute of Technology,University,Japan,2.7 kg,09/22/06,M-V-7 (M-5),"250 x 600 km, 98 degree inclination",Space Technology
RAFT1,US Naval Academy Satellite Lab,University,US,4 kg,10/12/06,Shuttle,ISS,Space Technology
MARScom,US Naval Academy Satellite Lab,University,US,3 kg,12/09/06,Shuttle,ISS,Space Technology
MEPSI 2A,DARPA,Military,US,1U,12/09/06,Shuttle,ISS,Space Technology
MEPSI 2B,DARPA,Military,US,1U,12/09/06,Shuttle,ISS,Space Technology
GeneSat-1,NASA/Santa Clara University,Agency,US,3U,12/16/06,Minotaur I,"410 km, 40 degree inclination",Space Activity
