Flock-1f 4,Planet Labs,Company,US,3U,06/28/15,Falcon 9,ISS,Space Activity
Flock-1f 5,Planet Labs,Company,US,3U,06/28/15,Falcon 9,ISS,Space Activity
Flock-1f 6,Planet Labs,Company,US,3U,06/28/15,Falcon 9,ISS,Space Activity
Flock-1f 7,Planet Labs,Company,US,3U,06/28/15,Falcon 9,ISS,Space Activity
Flock-1f 8,Planet Labs,Company,US,3U,06/28/15,Falcon 9,ISS,Space Activity
Deorbitsail,EU FP7 consortium,Agency,UK,3U,07/10/15,PSLV-XL,"650 km, 97.8 degree inclination",Space Technology
Flock-2b 10,Planet Labs,Company,US,3U,08/19/15,H-2B,ISS,Space Activity
Flock-2b 11,Planet Labs,Company,US,3U,08/19/15,H-2B,ISS,Space Activity
Flock-2b 12,Planet Labs,Company,US,3U,08/19/15,H-2B,ISS,Space Activity
Flock-2b 13,Planet Labs,Company,US,3U,08/19/15,H-2B,ISS,Space Activity
Flock-2b 14,Planet Labs,Company,US,3U,08/19/15,H-2B,ISS,Space Activity
Flock-2b 1,Planet Labs,Company,US,3U,08/19/15,H-2B,ISS,Space Activity
Flock-2b 2,Planet Labs,Company,US,3U,08/19/15,H-2B,ISS,Space Activity
Flock-2b 3,Planet Labs,Company,US,3U,08/19/15,H-2B,ISS,Space Activity
"S-CUBE (S3, Shootingstar Sensing Satellite)",Chiba Institute of Technology,University,Japan,3U,08/19/15,H-2B,ISS,Space Science
Flock-2b 4,Planet Labs,Company,US,3U,08/19/15,H-2B,ISS,Space Activity
Flock-2b 5,Planet Labs,Company,US,3U,08/19/15,H-2B,ISS,Space Activity
Flock-2b 6,Planet Labs,Company,US,3U,08/19/15,H-2B,ISS,Space Activity
Flock-2b 7,Planet Labs,Company,US,3U,08/19/15,H-2B,ISS,Space Activity
Flock-2b 8,Planet Labs,Company,US,3U,08/19/15,H-2B,ISS,Space Activity
Flock-2b 9,Planet Labs,Company,US,3U,08/19/15,H-2B,ISS,Space Activity
GOMX-3,GomSpace ApS,Company,Denmark,3U,08/19/15,H-IIB,ISS,Space Activity
AAUSAT5,Aalborg University,University,Denmark,1U,08/19/15,H-2B,ISS,Space Technology
SERPENS,SERPENS (Sistema Espacial para Realização de Pesquisa e Experimentos com Nanossatélites) programme university consortium,University,Brazil,3U,08/19/15,H-2B,ISS,Space Technology
XC 3 (Xingchen 3),National University of Defense Technology (NUDT),University,China,100 g,09/19/15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology
ZJ 1 (Zijing 1),Tsinghua University,University,China,0.234 kg,09/19/15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology
KJSY 1 (Kongjian Shiyan 1),Tsinghua University,University,China,0.173 kg,09/19/15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology
LilacSat-2,Harbin Institute of Technology,University,China,10 kg,09/19/15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology
"XW-2B (CAS 3B, Chinese Amateur Radio Satellite)",CAMSAT (AMSAT China),Non-profit,China,10 kg,09/19/15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology
"XW-2C (CAS 3C, Chinese Amateur Radio Satellite)",CAMSAT (AMSAT China),Non-profit,China,10 kg,09/19/15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology
"XW-2D (CAS 3D, Chinese Amateur Radio Satellite)",CAMSAT (AMSAT China),Non-profit,China,10 kg,09/19/15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology
"XW-2E (CAS 3E, Chinese Amateur Radio Satellite)",CAMSAT (AMSAT China),Non-profit,China,1.5 kg,09/19/15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology
"XW-2F (CAS 3F, Chinese Amateur Radio Satellite)",CAMSAT (AMSAT China),Non-profit,China,1.5 kg,09/19/15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology
"DCBB, CAS 3G (Chinese Amateur Radio Satellite)",Shenzhen Aerospace Dongfanghong HIT Satellite Ltd,Company,China,2U,09/19/15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology
"NUDT-PhoneSat (CAS 3I, Kaituo 1B)",National University of Defense Technology,University,China,1U,09/19/15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology
XC 1 (Xingchen 1),National University of Defense Technology (NUDT),University,China,100 g,09/19/15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology
XC 2 (Xingchen 2),National University of Defense Technology (NUDT),University,China,100 g,09/19/15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology
XC 4 (Xingchen 4),National University of Defense Technology (NUDT),University,China,100 g,09/19/15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology
"TW-1A (STU-2, Shankeda 2, Tianwang-1A, Sat-A, SECM-1)",Shanghai Engineering Centre for Microsatellites (SECM),Institute,China,3U,09/25/15,Chang Zheng 11 (CZ-11),"470 x 485 km, 97.3 degree inclination, SSO",Space Technology
"TW-1B (STU-2, NJUST 2, Tianwang-1B, Sat-B, SECM-1)",Shanghai Engineering Centre for Microsatellites,Institute,China,2U,09/25/15,Chang Zheng 11 (CZ-11),"470 x 485 km, 97.3 degree inclination, SSO",Space Technology
"TW-1C (STU-2, NJFA , Tianwang-1C, Sat-C, SECM-1)",Shanghai Engineering Centre for Microsatellites,Institute,China,2U,09/25/15,Chang Zheng 11 (CZ-11),"470 x 485 km, 97.3 degree inclination, SSO",Space Technology
Lemur2-Chris,Spire,Company,US,3U,09/28/15,PSLV-XL,"650 x 660 km, 6 degree inclination",Space Activity
Lemur2-Jeroen,Spire,Company,US,3U,09/28/15,PSLV-XL,"650 x 660 km, 6 degree inclination",Space Activity
Lemur2-Peter,Spire,Company,US,3U,09/28/15,PSLV-XL,"650 x 660 km, 6 degree inclination",Space Activity
Lemur2-Joel,Spire,Company,US,3U,09/28/15,PSLV-XL,"650 x 660 km, 6 degree inclination",Space Activity
ExactView 9,exactEarth Inc,Company,Canada,5.5 kg,09/28/15,PSLV-XL,"650 x 660 km, 6 degree inclination",Space Activity
"LMRSTSat (LMRSat , LMRST-Sat, Low Mass Radio Science Transponder - Satellite)",Stanford University,University,US,2U,10/08/15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Technology
ARC-1 (Alaska Research CubeSat),University of Alaska,University,US,1U,10/08/15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Technology
AeroCube-5C,The Aerospace Corporation,Non-profit,US,1.5U,10/08/15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Technology
SINOD-D 3,SRI International,Company,US,2U,10/08/15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Technology
"BisonSat (Nwist Q̓ʷiq̓ʷáy, SKC)",Salish Kootenai College,University,US,1U,10/08/15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Technology
Fox-1A,The Radio Amateur Satellite Corporation (AMSAT),Non-profit,US,1U,10/08/15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Technology
SINOD-D 1,SRI International,Company,US,2U,10/08/15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Technology
PropCube 3 (Merryweather. Propagation CubeSat),Naval Postgraduate School (NPS),University,US,1U,10/08/15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Science
SNaP-3 A ALICE ((Space and Missile Defense Command Nano-Satellite-3),United States Army Space and Missile Defense Command,Military,US,3U,10/08/15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Technology
"PropCube 1 (Flora, Propagation CubeSat)",Naval Postgraduate School (NPS),University,US,1U,10/08/15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Science
SNaP-3 B EDDIE ((Space and Missile Defense Command Nano-Satellite-3),United States Army Space and Missile Defense Command,Military,US,3U,10/08/15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Technology
SNAP-3 C JIMI (Space and Missile Defense Command Nano-Satellite-3),Naval Postgraduate School,University,US,3U,10/08/15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Technology
"Aerocube-7A (OCSD, Optical Communications and Sensor Demonstration, IOCPS-A, Integrated Optical Communications and Proximity Sensors)",The Aerospace Corporation,Non-profit,US,1.5U,10/08/15,Atlas V,"500 x 800 km, 63 degree inclination",Space Technology
Argus (SLU-02),Saint Louis University,University,US,2U,11/04/15,Super Strypi,Launch failure,Space Technology
EDSN 1 (Edison Demonstration of Smallsat Networks),NASA/ Ames Research Center,Agency,US,1.5U,11/04/15,Super Strypi,Launch failure,Space Technology
EDSN 2 (Edison Demonstration of Smallsat Networks),NASA/ Ames Research Center,Agency,US,1.5U,11/04/15,Super Strypi,Launch failure,Space Technology
EDSN 3 (Edison Demonstration of Smallsat Networks),NASA/ Ames Research Center,Agency,US,1.5U,11/04/15,Super Strypi,Launch failure,Space Technology
EDSN 4 (Edison Demonstration of Smallsat Networks),NASA/ Ames Research Center,Agency,US,1.5U,11/04/15,Super Strypi,Launch failure,Space Technology
EDSN 5 (Edison Demonstration of Smallsat Networks),NASA/ Ames Research Center,Agency,US,1.5U,11/04/15,Super Strypi,Launch failure,Space Technology
EDSN 6 (Edison Demonstration of Smallsat Networks),NASA/ Ames Research Center,Agency,US,1.5U,11/04/15,Super Strypi,Launch failure,Space Technology
EDSN 7 (Edison Demonstration of Smallsat Networks),NASA/ Ames Research Center,Agency,US,1.5U,11/04/15,Super Strypi,Launch failure,Space Technology
EDSN 8 (Edison Demonstration of Smallsat Networks),NASA/ Ames Research Center,Agency,US,1.5U,11/04/15,Super Strypi,Launch failure,Space Technology
PrintSat,Montana State University,University,US,1U,11/04/15,Super Strypi,Launch failure,Space Technology
