,Mission_Name,Organization,Organization_Type,Nation,Sat_Type,Launch_Year,Rocket,Orbit,Mission_Type,region,Year
180,Prometheus 1-1,Los Alamos National Laboratory,Military,US,1.5U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
181,Prometheus 1-2,Los Alamos National Laboratory,Military,US,1.5U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
182,Prometheus 1-3,Los Alamos National Laboratory,Military,US,1.5U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
183,Prometheus 1-4,Los Alamos National Laboratory,Military,US,1.5U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
184,Prometheus 1-5,Los Alamos National Laboratory,Military,US,1.5U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
185,Prometheus 1-6,Los Alamos National Laboratory,Military,US,1.5U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
186,"$50Sat (50-Dollarsat, Eagle 2)",Morehead State University,University,US,PocketQube 1.5p,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology,North America,2013
187,BRITE-PL-1,The Space Research Centre of the Polish Academy of Sciences,Institute,Poland,6 kg,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Science,Europe,2013
188,"CINEMA 2 (TRIO 2, KHUSAT 1)",Kyung Hee University,University,South Korea,3U,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Science,Asia,2013
189,"CINEMA 3 (TRIO 3, KHUSAT 2)",Kyung Hee University,University,South Korea,3U,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Science,Asia,2013
190,CubeBug-2 (Manolito),Satellogic,Company,Argentina,2U,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology,South America,2013
191,Delfi-n3Xt,Delft University of Technology,University,Netherlands,3U,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology,Europe,2013
192,Dove-3,Planet Labs,Company,US,3U,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology,North America,2013
193,Dove-4,Planet Labs,Company,US,3U,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology,North America,2013
194,FUNcube-1,AMSAT-UK,Non-profit,UK,1U,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Activity,Europe,2013
195,"GOMX-1 (GATOSS, Global Air Traffic Awareness and Optimizing through Spaceborne Surveillance)",GomSpace ApS,Company,Denmark,2U,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology,Europe,2013
196,HiNCube,Narvik University College,University,Norway,1U,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology,Europe,2013
197,HumSat-D,University of Vigo,University,Spain,1U,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology,Europe,2013
198,ICUBE-1,Islamabad Institute of Science and Technology,Institute,Pakistan,1U,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology,Asia,2013
199,"MOVE (First-MOVE, Munich Orbital Verification Experiment)",Technical University of München,University,Germany,1U,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology,Europe,2013
200,NEE-02 Krysaor,Ecuadorian Space Agency,Agency,Ecuador,1U,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology,South America,2013
201,OPTOS (Optical Nanosatellite),National Institute of Aerospace Technology,Agency,Spain,3U,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology,Europe,2013
202,PUCP-Pocket,Pontifical Catholic University of Peru,University,Peru,0.127 kg,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology,South America,2013
203,PUCPSat-1,Pontifical Catholic University of Peru,University,Peru,1U,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology,South America,2013
204,QubeScout 1,Maryland State University,University,US,PocketQube 2.5p,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology,North America,2013
205,ZACUBE-1 (TshepisoSat),Cape Peninsula University of Technology,University,South Africa,1U,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology,Africa,2013
206,"T-LogoQube (BeakerSat 1, MagPocketQube, Eagle-1)",Sonoma State University,University,US,PocketQube 2.5p,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology,North America,2013
207,Triton-1,ISIS,Company,Netherlands,3U,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology,Europe,2013
208,UWE-3,University of Würzburg,University,Germany,1U,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology,Europe,2013
209,VELOX-P2,Nanyang Technological University,University,Singapore,1U,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology,Asia,2013
210,WNISAT 1 (Weather News Inc. Satellite 1),Weather News Inc.,Company,Japan,10 kg,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Activity,Asia,2013
211,Wren,STADOKO UG,Company,Germany,PocketQube 1p,11-21-13,Dnepr,"670 km, 97.79 degree inclination.",Space Technology,Europe,2013
212,AeroCube-5A,The Aerospace Corporation,Non-profit,US,1.5U,12-06-13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Technology,North America,2013
213,AeroCube-5B,The Aerospace Corporation,Non-profit,US,1.5U,12-06-13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Technology,North America,2013
214,ALICE (AFIT LEO iMESA CNT Experiment),Air Force Institute of Technology,University,US,3U,12-06-13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Technology,North America,2013
215,CUNYSAT 1,City University of New York (CUNY),University,US,1U,12-06-13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Technology,North America,2013
216,"FIREBIRD A (FU1, Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",Montana State University/ University of New Hampshire,University,US,1.5U,12-06-13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Science,North America,2013
217,"FIREBIRD B (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",Montana State University/ University of New Hampshire,University,US,1.5U,12-06-13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Science,North America,2013
218,"IPEX (CP8, Intelligent Payload Experiment)",California Polytechnic State University,University,US,1U,12-06-13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Technology,North America,2013
219,M-Cubed 2,University of Michigan,University,US,1U,12-06-13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Technology,North America,2013
220,SMDC-ONE 3.1 (Charlie),Space & Missile Defense Command,Military,US,3U,12-06-13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Technology,North America,2013
221,SMDC-ONE 3.2 (David),Space & Missile Defense Command,Military,US,3U,12-06-13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Technology,North America,2013
222,SNAP,STP/ Space & Missile Defense Command,Military,US,3U,12-06-13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Technology,North America,2013
223,TacSat-6,Space & Missile Defense Command,Military,US,3U,12-06-13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Technology,North America,2013
224,Flock-1 Dove-25,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
225,Flock-1 Dove-26,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
226,Flock-1 Dove-27,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
227,Flock-1 Dove-28,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
228,Flock-1 Dove-3,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
229,Flock-1 Dove-4,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
230,Flock-1 Dove-5,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
231,Flock-1 Dove-6,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
232,Flock-1 Dove-7,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
233,Flock-1 Dove-8,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
234,Flock-1 Dove-9,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
235,LitSat-1,Kaunas University of Technology,Institute,Lithuania,1U,01-09-14,Antares,ISS,Space Technology,Europe,2014
236,LituanicaSAT-1,Kaunas University of Technology,University,Lithuania,1U,01-09-14,Antares,ISS,Space Technology,Europe,2014
237,SkyCube,"Southern Stars Group, LLC",Company,US,1U,01-09-14,Antares,ISS,Space Activity,North America,2014
238,UAPSAT-1,Alas Peruanas University,University,Peru,1U,01-09-14,Antares,ISS,Space Technology,South America,2014
239,ArduSat 2,Spire (Nanosatisfi),Company,US,2U,01-09-14,Antares,ISS,Space Activity,North America,2014
240,Flock-1 Dove-1,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
241,Flock-1 Dove-10,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
242,Flock-1 Dove-11,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
243,Flock-1 Dove-12,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
244,Flock-1 Dove-13,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
245,Flock-1 Dove-14,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
246,Flock-1 Dove-15,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
247,Flock-1 Dove-16,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
248,Flock-1 Dove-17,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
249,Flock-1 Dove-18,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
250,Flock-1 Dove-19,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
251,Flock-1 Dove-2,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
252,Flock-1 Dove-20,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
253,Flock-1 Dove-21,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
254,Flock-1 Dove-22,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
255,Flock-1 Dove-23,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
256,Flock-1 Dove-24,Planet Labs,Company,US,3U,01-09-14,Antares,ISS,Space Activity,North America,2014
257,Chasqui-I,Peru National University of Engineering,University,Peru,1U,02-05-14,Sojuz-U,ISS,Space Technology,South America,2014
258,ARTSAT1: Invader (INteractiVe satellite for Art and Design Experimental Research),Tama Art University,University,Japan,1U,02-27-14,H-2A,"408 km, non-SSO, 65 degree inclination",Space Activity,Asia,2014
259,"ITF-1 (YUI, Imagine The Future-1, IFT)",University of Tsukuba,University,Japan,1U,02-27-14,H-2A,"408 km, non-SSO, 65 degree inclination",Space Technology,Asia,2014
260,KSAT2 (Hayato),Kagoshima University,University,Japan,1U,02-27-14,H-2A,"408 km, non-SSO, 65 degree inclination",Space Technology,Asia,2014
261,OPUSAT (CosMoz),Osaka Prefecture University,University,Japan,1U,02-27-14,H-2A,"408 km, non-SSO, 65 degree inclination",Space Technology,Asia,2014
262,STARS-II,Kagawa University,University,Japan,9kg,02-27-14,H-2A,"408 km, non-SSO, 65 degree inclination",Space Technology,Asia,2014
263,ALL-STAR/THEIA (Agile Low-cost Laboratory for Space Technology Acceleration and Research),University of Colorado at Boulder,University,US,3U,04-18-14,Falcon 9,"325 km, 51.6 degree inclination",Space Technology,North America,2014
264,KickSat,Cornell University,University,US,3U,04-18-14,Falcon 9,"325 km, 51.6 degree inclination",Space Activity,North America,2014
265,PhoneSat-2.5,NASA Ames,Agency,US,1U,04-18-14,Falcon 9,"325 km, 51.6 degree inclination",Space Technology,North America,2014
266,SporeSat,"NASA Ames, Purdue University, Santa Clara University",University,US,3U,04-18-14,Falcon 9,"325 km, 51.6 degree inclination",Space Science,North America,2014
267,"TSAT (TSat3, Testsat-Lite, Taylor Satellite)",Taylor University,University,US,2U,04-18-14,Falcon 9,"325 km, 51.6 degree inclination",Space Technology,North America,2014
268,SPROUT,Nihon University,University,Japan,6.7 kg,05-24-14,H-2A,"628 km, 97.9 degree inclination",Space Technology,Asia,2014
269,AeroCube-6A,The Aerospace Corporation,Non-profit,US,0.5U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Technology,North America,2014
270,AeroCube-6B,The Aerospace Corporation,Non-profit,US,0.5U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Technology,North America,2014
271,Antelsat,University of the Republic,University,Uruguay,2U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Technology,South America,2014
272,"BRITE-CA 1 (BRITE-Montreal, CanX-3E)",Canadian Space Agency (CSA),Agency,Canada,10 kg,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Science,North America,2014
273,"BRITE-CA 2 (BRITE-Toronto, CanX-3F)",Canadian Space Agency (CSA),Agency,Canada,10 kg,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Science,North America,2014
274,DTUSat-2,Technical University of Denmark,University,Denmark,1U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Technology,Europe,2014
275,Duchifat-1,Herzliya Science Centre,School,Israel,1U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Technology,Asia,2014
276,Flock-1c Dove-1,Planet Labs,Company,US,3U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Activity,North America,2014
277,Flock-1c Dove-10,Planet Labs,Company,US,3U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Activity,North America,2014
278,Flock-1c Dove-11,Planet Labs,Company,US,3U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Activity,North America,2014
279,Flock-1c Dove-2,Planet Labs,Company,US,3U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Activity,North America,2014
280,Flock-1c Dove-3,Planet Labs,Company,US,3U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Activity,North America,2014
281,Flock-1c Dove-4,Planet Labs,Company,US,3U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Activity,North America,2014
282,Flock-1c Dove-5,Planet Labs,Company,US,3U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Activity,North America,2014
283,Flock-1c Dove-6,Planet Labs,Company,US,3U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Activity,North America,2014
284,Flock-1c Dove-7,Planet Labs,Company,US,3U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Activity,North America,2014
285,Flock-1c Dove-8,Planet Labs,Company,US,3U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Activity,North America,2014
286,Flock-1c Dove-9,Planet Labs,Company,US,3U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Activity,North America,2014
287,Lemur-1,Spire (Nanosatisfi),Company,US,3U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Technology,North America,2014
288,PACE (Platform for Attitude Control Experiments),National Cheng Kung University,University,Taiwan,2U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Technology,Asia,2014
289,Perseus-M 1,Dauria / Aquila Space,Company,Russia,6U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Activity,Asia,2014
290,Perseus-M 2,Dauria / Aquila Space,Company,Russia,6U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Activity,Asia,2014
291,PolyITAN-1,National Technical University of Ukraine,University,Ukraine,1U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Technology,Europe,2014
292,POPSAT-HIP 1,Microspace Rapid Pte Ltd.,Company,Singapore,3U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Technology,Asia,2014
293,QB50P1,Von Karman Institute,Institute,Belgium,2U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Technology,Europe,2014
294,QB50P2,Von Karman Institute,Institute,Belgium,2U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Technology,Europe,2014
295,Tigrisat,School of Aerospace Engineering of Rome,University,Iraq,3U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Technology,Middle East,2014
295,Tigrisat,School of Aerospace Engineering of Rome,University,Italy,3U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Technology,Europe,2014
296,NANOSATC-BR1,Southern Regional Space Research Center (CRS),Institute,Brazil,1U,06-19-14,Dnepr,"610 km, 97.99 degree inclination",Space Technology,South America,2014
297,CanX-4,University of Toronto Institute for Aerospace Studies,University,Canada,7 kg,06-30-14,PSLV,"660 km, 98.2 degree inclination",Space Technology,North America,2014
298,CanX-5,University of Toronto Institute for Aerospace Studies,University,Canada,7 kg,06-30-14,PSLV,"660 km, 98.2 degree inclination",Space Technology,North America,2014
299,VELOX PIII,Nanyang Technological University,University,Singapore,0.193 kg,06-30-14,PSLV,"660 km, 98.2 degree inclination",Space Technology,Asia,2014
300,VELOX-I N-Sat,Nanyang Technological University,University,Singapore,3U,06-30-14,PSLV,"660 km, 98.2 degree inclination",Space Technology,Asia,2014
301,AISSat-2,Norwegian Space Centre,Agency,Norway,6 kg,07-08-14,Sojuz-2 1b,"635 km, 98.8 degree inclination",Space Activity,Europe,2014
302,UKube-1 (United Kingdom Universal Bus Experiment 1),United Kingdom Space Agency,Agency,UK,3U,07-08-14,Sojuz-2 1b,"635 km, 98.8 degree inclination",Space Technology,Europe,2014
303,Flock-1b Dove-12,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
304,Flock-1b Dove-13,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
305,Flock-1b Dove-14,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
306,Flock-1b Dove-15,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
307,Flock-1b Dove-16,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
308,Flock-1b Dove-17,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
309,Flock-1b Dove-18,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
310,Flock-1b Dove-19,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
311,Flock-1b Dove-2,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
312,Flock-1b Dove-20,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
313,Flock-1b Dove-21,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
314,Flock-1b Dove-22,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
315,Flock-1b Dove-23,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
316,Flock-1b Dove-24,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
317,Flock-1b Dove-25,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
318,Flock-1b Dove-26,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
319,Flock-1b Dove-27,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
320,Flock-1b Dove-28,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
321,Flock-1b Dove-3,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
322,Flock-1b Dove-4,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
323,Flock-1b Dove-5,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
324,Flock-1b Dove-6,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
325,Flock-1b Dove-7,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
326,Flock-1b Dove-8,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
327,Flock-1b Dove-9,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
328,"GEARRS-1 (GEARRSAT, Globalstar Experiment And Risk Reduction Satellite)",Near Space Launch,Company,US,3U,07-13-14,Antares,ISS,Space Technology,North America,2014
329,Lambdasat,San Jose State University,University,US,3U,07-13-14,Antares,ISS,Space Technology,North America,2014
330,MicroMAS-1,Massachusetts Institute of Technology,University,US,3U,07-13-14,Antares,ISS,Space Technology,North America,2014
331,TechEdSat-4,NASA Ames Research Center,Agency,US,3U,07-13-14,Antares,ISS,Space Technology,North America,2014
332,Flock-1b Dove-1,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
333,Flock-1b Dove-10,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
334,Flock-1b Dove-11,Planet Labs,Company,US,3U,07-13-14,Antares,ISS,Space Activity,North America,2014
335,BRITE-PL-2,The Space Research Centre of the Polish Academy of Sciences,Institute,Poland,6 kg,08-19-14,Long March 4B,"670 km, 97.79 degree inclination.",Space Science,Europe,2014
336,Arkyd 3,Planetary Resources,Company,US,3U,10-28-14,Antares,ISS,Space Technology,North America,2014
337,Flock-1d Dove-1,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
338,Flock-1d Dove-10,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
339,Flock-1d Dove-11,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
340,Flock-1d Dove-12,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
341,Flock-1d Dove-13,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
342,Flock-1d Dove-14,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
343,Flock-1d Dove-15,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
344,Flock-1d Dove-16,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
345,Flock-1d Dove-17,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
346,Flock-1d Dove-18,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
347,Flock-1d Dove-19,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
348,Flock-1d Dove-2,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
349,Flock-1d Dove-20,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
350,Flock-1d Dove-21,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
351,Flock-1d Dove-22,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
352,Flock-1d Dove-23,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
353,Flock-1d Dove-24,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
354,Flock-1d Dove-25,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
355,Flock-1d Dove-26,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
356,Flock-1d Dove-3,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
357,Flock-1d Dove-4,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
358,Flock-1d Dove-5,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
359,Flock-1d Dove-6,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
360,Flock-1d Dove-7,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
361,Flock-1d Dove-8,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
362,Flock-1d Dove-9,Planet Labs,Company,US,3U,10-28-14,Antares,ISS,Space Activity,North America,2014
363,GOMX-2,GomSpace ApS,Company,Denmark,2U,10-28-14,Antares,ISS,Space Technology,Europe,2014
364,"RACE (CHARM, Radiometer Atmospheric CubeSat Experiment, CubeSat Hydrometric Atmospheric Radiometer Mission)",The University of Texas at Austin,University,US,3U,10-28-14,Antares,ISS,Space Technology,North America,2014
365,Flock-1d' 1,Planet Labs,Company,US,3U,01-10-15,Falcon 9,ISS,Space Activity,North America,2015
366,Flock-1d' 2,Planet Labs,Company,US,3U,01-10-15,Falcon 9,ISS,Space Activity,North America,2015
367,AESP-14,Technological Institute of Aeronautics,University,Brazil,1U,01-10-15,Falcon 9,ISS,Space Technology,South America,2015
368,CP10 (ExoCube),California Polytechnic State University,University,US,3U,01-31-15,Delta II,"600 km, SSO",Space Science,North America,2015
369,"FIREBIRD-2 C (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",Montana State University/ University of New Hampshire,University,US,1.5U,01-31-15,Delta II,"600 km, SSO",Space Science,North America,2015
370,"FIREBIRD-2 D (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",Montana State University/ University of New Hampshire,University,US,1.5U,01-31-15,Delta II,"600 km, SSO",Space Science,North America,2015
371,GRIFEX (GEO-CAPE ROIC In-Flight Performance Experiment),University of Michigan,University,US,3U,01-31-15,Delta II,"600 km, SSO",Space Technology,North America,2015
372,Flock-1e 1,Planet Labs,Company,US,3U,04-14-15,Falcon 9,ISS,Space Activity,North America,2015
373,Flock-1e 10,Planet Labs,Company,US,3U,04-14-15,Falcon 9,ISS,Space Activity,North America,2015
374,Flock-1e 11,Planet Labs,Company,US,3U,04-14-15,Falcon 9,ISS,Space Activity,North America,2015
375,Flock-1e 12,Planet Labs,Company,US,3U,04-14-15,Falcon 9,ISS,Space Activity,North America,2015
376,Flock-1e 13,Planet Labs,Company,US,3U,04-14-15,Falcon 9,ISS,Space Activity,North America,2015
377,Flock-1e 14,Planet Labs,Company,US,3U,04-14-15,Falcon 9,ISS,Space Activity,North America,2015
378,Flock-1e 2,Planet Labs,Company,US,3U,04-14-15,Falcon 9,ISS,Space Activity,North America,2015
379,Flock-1e 3,Planet Labs,Company,US,3U,04-14-15,Falcon 9,ISS,Space Activity,North America,2015
380,Flock-1e 4,Planet Labs,Company,US,3U,04-14-15,Falcon 9,ISS,Space Activity,North America,2015
381,Flock-1e 5,Planet Labs,Company,US,3U,04-14-15,Falcon 9,ISS,Space Activity,North America,2015
382,Flock-1e 6,Planet Labs,Company,US,3U,04-14-15,Falcon 9,ISS,Space Activity,North America,2015
383,Flock-1e 7,Planet Labs,Company,US,3U,04-14-15,Falcon 9,ISS,Space Activity,North America,2015
384,Flock-1e 8,Planet Labs,Company,US,3U,04-14-15,Falcon 9,ISS,Space Activity,North America,2015
385,Flock-1e 9,Planet Labs,Company,US,3U,04-14-15,Falcon 9,ISS,Space Activity,North America,2015
386,Arkyd 3 reflight,Planetary Resources,Company,US,3U,04-14-15,Falcon 9,ISS,Space Technology,North America,2015
387,Centennial-1,Booz Allen Hamilton,Company,US,1U,04-14-15,Falcon-9,ISS,Space Technology,North America,2015
