,Mission_Name,Organization,Organization_Type,Nation,Sat_Type,Launch_Year,Rocket,Orbit,Mission_Type,region,Year
42,HIT-Sat,Hokkaido Institute of Technology,University,Japan,2.7 kg,09-22-06,M-V-7 (M-5),"250 x 600 km, 98 degree inclination",Space Technology,Asia,2006
43,RAFT1,US Naval Academy Satellite Lab,University,US,4 kg,10-12-06,Shuttle,ISS,Space Technology,North America,2006
44,MARScom,US Naval Academy Satellite Lab,University,US,3 kg,12-09-06,Shuttle,ISS,Space Technology,North America,2006
45,MEPSI 2A,DARPA,Military,US,1U,12-09-06,Shuttle,ISS,Space Technology,North America,2006
46,MEPSI 2B,DARPA,Military,US,1U,12-09-06,Shuttle,ISS,Space Technology,North America,2006
47,GeneSat-1,NASA/Santa Clara University,Agency,US,3U,12-16-06,Minotaur I,"410 km, 40 degree inclination",Space Activity,North America,2006
48,PehuenSat 1,National University of Comahue,University,Argentina,6 kg,01-10-07,PSLV,638 km,Space Technology,South America,2007
49,CAPE-1,University of Louisiana at Lafayette,University,US,1U,04-17-07,Dnepr,"668 km, SSO",Space Technology,North America,2007
50,CP3,California Polytechnic University,University,US,1U,04-17-07,Dnepr,"668 km, SSO",Space Technology,North America,2007
51,CP4,California Polytechnic University,University,US,1U,04-17-07,Dnepr,"668 km, SSO",Space Technology,North America,2007
52,CSTB-1 (CubeSat TestBed 1),Boeing,Company,US,1U,04-17-07,Dnepr,"668 km, SSO",Space Technology,North America,2007
53,Libertad-1,Sergio Arboleda University,University,Colombia,1U,04-17-07,Dnepr,"668 km, SSO",Space Activity,South America,2007
54,MAST,Tethers Unlimited,Company,US,3U,04-17-07,Dnepr,"668 km, SSO",Space Technology,North America,2007
55,AeroCube-2,The Aerospace Corporation,Non-profit,US,1U,04-17-07,Dnepr,"668 km, SSO",Space Technology,North America,2007
56,"MEMS-Pico (ZDPS-1, Zheda Pixing)",Zhejiang University,University,China,1 kg,05-25-07,Long March 2D,"631 x 655 km, 97.8 degree inclination",Space Technology,Asia,2007
57,AAUSAT2,Aalborg University,University,Denmark,1U,04-28-08,PSLV,"615 x 634 km, SSO, 97.94 degree inclination",Space Technology,Europe,2008
58,CanX-2,University of Toronto Institute for Aerospace Studies,University,Canada,3U,04-28-08,PSLV,"615 x 634 km, SSO, 97.94 degree inclination",Space Technology,North America,2008
59,CanX-6,University of Toronto Institute for Aerospace Studies,University,Canada,6.5 kg,04-28-08,PSLV,"615 x 634 km, SSO, 97.94 degree inclination",Space Technology,North America,2008
60,Compass-1,Aachen University of Applied Sciences,University,Germany,1U,04-28-08,PSLV,"615 x 634 km, SSO, 97.94 degree inclination",Space Technology,Europe,2008
61,CUTE-1.7+APD-2,Tokyo Institute of Technology,University,Japan,3 kg,04-28-08,PSLV,"615 x 634 km, SSO, 97.94 degree inclination",Space Technology,Asia,2008
62,Delfi-C3,Delft University of Technology,University,Netherlands,3U,04-28-08,PSLV,"615 x 634 km, SSO, 97.94 degree inclination",Space Technology,Europe,2008
63,SEEDS-2 (Space Engineering EDucation Satellite-2),Nihon University,University,Japan,1U,04-28-08,PSLV,"615 x 634 km, SSO, 97.94 degree inclination",Space Technology,Asia,2008
64,NanoSail-D,NASA/ Ames Research Center,Agency,US,3U,08-03-08,Falcon-1,Launch failure,Space Technology,North America,2008
65,PreSat (PharmaSat Risk Evaluation Satellite),NASA Ames Research Center,Agency,US,3U,08-03-08,Falcon-1,Launch failure,Space Technology,North America,2008
66,"PSSC (PSSCT, Pico Satellite Solar Cell Testbed)",The Aerospace Corporation,Military,US,6.5 kg,11-29-08,Shuttle,"345 km, 51.6 degree inclination",Space Technology,North America,2008
67,"KKS-1 (Kouku Kosen Satellite-1, KISEKI)",Tokyo Metropolitan College of Industrial Technology,University,Japan,3.17 kg,01-23-09,H-IIA,"660 km, SSO, 98 degree inclination",Space Technology,Asia,2009
68,PRISM (Picosatellite for Remote¿sensing and Innovative Space Missions),University of Tokyo,University,Japan,8.5 kg,01-23-09,H-IIA,"660 km, SSO, 98 degree inclination",Space Activity,Asia,2009
69,"STARS-1 Daughter (KUKAI, KAI, Space Tethered autonomous Robotic Satellite 1)",Kagawa University,University,Japan,3.8 kg,01-23-09,H-IIA,"660 km, SSO, 98 degree inclination",Space Technology,Asia,2009
70,"STARS-1 Mother (KUKAI, KU, Space Tethered autonomous Robotic Satellite 1)",Kagawa University,University,Japan,4.2 kg,01-23-09,H-IIA,"660 km, SSO, 98 degree inclination",Space Technology,Asia,2009
71,AeroCube-3,The Aerospace Corporation,Non-profit,US,1U,05-19-09,Minotaur I,"450 km, 40.4 degree inclination",Space Technology,North America,2009
72,CP6,California Polytechnic University,University,US,1U,05-19-09,Minotaur I,"450 km, 40.4 degree inclination",Space Technology,North America,2009
73,HawkSat I,Hawk Institute of Space Sciences,Company,US,1U,05-19-09,Minotaur I,"450 km, 40.4 degree inclination",Space Technology,North America,2009
74,PharmaSat 1 (GeneSat-2),"Santa Clara University, NASA Ames Small Spacecraft Division",Agency,US,3U,05-19-09,Minotaur I,"450 km, 40.4 degree inclination",Space Activity,North America,2009
75,Aggiesat-2 (Dragonsat 2),Texas A&M University,University,US,3.2 kg,07-15-09,Shuttle,"336 km,",Space Technology,North America,2009
76,BEVO 1 (DragonSat 1),University of Texas at Austin,University,US,3.5 kg,07-15-09,Shuttle,"336 km,",Space Technology,North America,2009
77,BEESAT-1,Berlin Technical University,University,Germany,1U,09-23-09,PSLV,"730 km, 98.3 degree inclination",Space Technology,Europe,2009
